Comments,Date,Favorites,User,Polarity,Sentiment
I welcome all Chairmen and Managing Directors of our Microfinance Banks and members of the National Association of… https://t.co/oc3TMEWRH5,3/22/2018 4:07,0,Rogers Austin Nwoke,0.8,positive
"Ecosmob's #Mobility solutions for #Banking, #Microfinance and other financial institutions help in improving custom… https://t.co/BmevH1HXfp",3/22/2018 4:06,2,Ecosmob,-0.0625,neutral
"RT @WaterAidAmerica: ""When #women are empowered through #microfinance projects they generate household income that supports the broader nee…",3/22/2018 4:02,0,Janet H.,0,neutral
RT @atmadiprayET: Here's why Janalakshmi Financial takes so long to small finance bank transition https://t.co/traKQNXuxe via @economictime…,3/22/2018 4:02,0,JAYESH AHER,-0.1,negative
"RT @lendwithcare: Our partner in #Pakistan @Akhuwat are the biggest #microfinance organisation in #Pakistan, and probably the largest #Isla…",3/22/2018 3:54,0,IMFN,0,neutral
"RT @texasnick310: Lynn Forester de Rothschild: 2006, Appointed as a member of the UN Advisors Group on Inclusive Financial Services.  Alfre…",3/22/2018 3:49,0,Shell...,0,neutral
"RT @Laura_B_Doering: How do personal relationships affect lending? In a new paper, I use data from microfinance to show how personal ties c…",3/22/2018 3:40,0,Clea Bourne,0.045454545,positive
RT @mmaqil: Majority of the people in Pakistan will have a digital wallet on a smartphone in the next 5 years. My thoughts on #FinancialInc…,3/22/2018 3:38,0,Hina Qaiser,0,neutral
Here's why Janalakshmi Financial takes so long to small finance bank transition https://t.co/traKQNXuxe via… https://t.co/6fk3hc1S9I,3/22/2018 3:36,0,Atmadip Ray,-0.1,negative
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/22/2018 3:36,0,MVP_SAWADINHO®,0,neutral
"Lynn Forester de Rothschild: 2006, Appointed as a member of the UN Advisors Group on Inclusive Financial Services.… https://t.co/VQ682Re02S",3/22/2018 3:34,1,Texas Nick,0,neutral
@ManyRivers_ providing microfinance to lift people from poverty and welfare across Australia - it requires long ter… https://t.co/t3cKtHc0iH,3/22/2018 3:34,0,CBB,-0.05,neutral
"RT @Laura_B_Doering: How do personal relationships affect lending? In a new paper, I use data from microfinance to show how personal ties c…",3/22/2018 3:27,0,Daniel Fridman,0.045454545,positive
"MOHANOKOR Microfinance Plc. ???????????? ?????????????????????? ??????????????????, ??? ????????? ????????????????… https://t.co/caAN22Kqny",3/22/2018 3:22,0,BongThom.com Jobs,0,neutral
Microfinance institutions tipped on lending and consumer protection https://t.co/evI8dOnr48 #Rwanda,3/22/2018 3:18,0,Kigali News,0,neutral
"RT @Laura_B_Doering: How do personal relationships affect lending? In a new paper, I use data from microfinance to show how personal ties c…",3/22/2018 2:58,0,Nino Bariola,0.045454545,positive
"RT @WaterAidAmerica: ""When #women are empowered through #microfinance projects they generate household income that supports the broader nee…",3/22/2018 2:32,0,Water for Empowerment,0,neutral
New post: How the World Benefits from the Expansion of Microfinance Having a healthy economy is di https://t.co/wLUSXBp30l,3/22/2018 2:27,0,Bricktowntom,0.318181818,positive
Grameen and microfinance under fire - the new york times - https://t.co/2A0H0fH5yr,3/22/2018 1:31,0,Katie Schatz,0.136363636,positive
china made spying drones | Microfinance Monitor https://t.co/9HGqIOJWTj,3/22/2018 1:23,0,Buy A Drone,0,neutral
"RT @MDC_Aus: ""Microcredit is a footnote in major banks, not their core business. Its their window dressing. Microcredit is not designed to…",3/22/2018 1:23,0,Collab4Good,0.0625,positive
"RT @MDC_Aus: ""Microcredit is a footnote in major banks, not their core business. Its their window dressing. Microcredit is not designed to…",3/22/2018 1:23,0,Chooks,0.0625,positive
"""Microcredit is a footnote in major banks, not their core business. Its their window dressing. Microcredit is not d… https://t.co/pdwEojmnIK",3/22/2018 1:23,1,MDC,0.0625,positive
RT @ecocreative: A big day for #socent in #Australia with #microfinance pioneer @Yunus_Centre of @GrameenFdn at the Social Business Forum i…,3/22/2018 1:19,0,Collab4Good,0.016666667,positive
RT @ecocreative: A big day for #socent in #Australia with #microfinance pioneer @Yunus_Centre of @GrameenFdn at the Social Business Forum i…,3/22/2018 1:07,0,QSEC,0.016666667,positive
RT @FINCA: .@rupertscofield spoke with @techweez about the digitization underway in #microfinance and the role #fintech has to play in expa…,3/22/2018 1:06,0,Julio Silva Vidales,0,neutral
.@rupertscofield spoke with @techweez about the digitization underway in #microfinance and the role #fintech has to… https://t.co/WTSmnSWMqr,3/22/2018 1:01,3,FINCA International,0,neutral
Fortunate to be able to hear @Yunus_Centre Prof. Yunus this morning. #Microfinance a pathway out of #poverty. Grame… https://t.co/HrOQvRIoCt,3/22/2018 0:59,1,SACOSS,0.45,positive
"25ème réunion du Comité National de coordination des Activités de Microfinance.

Une finance inclusive pour l'accès… https://t.co/DtreM8oH2b",3/22/2018 0:41,0,Aminata Angélique MANGA,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/22/2018 0:34,0,preye,0,neutral
"RT @kleosMFG: A snapshot of some of our inspiring, hardworking entrepreneurs in #Uganda, who have benefited from your generous donations! #…",3/22/2018 0:22,0,Osh,0.625,positive
New post (How the World Benefits from the Expansion of Microfinance) has been published on GeorgMedia ... - https://t.co/tJ9DoYuvlq,3/22/2018 0:08,0,Dragan Mestrovic,0.136363636,positive
How the World Benefits from the Expansion of Microfinance - https://t.co/QewidPJQVK,3/22/2018 0:04,0,Dragan Mestrovic,0,neutral
RT @Prosperousca1: What an insightful day . Thanks Mr. Markschreiner.Director -SCOROCD for giving insights on how #bigdata can be used to r…,3/22/2018 0:00,0,Blockchain4GlobDev,0.2,positive
A revoir | Finance | Le sud-africain Goodwell investit dans une société néerlandaise fournissant des logiciels aux… https://t.co/5iYBEI6Us8,3/21/2018 23:31,0,Agence Ecofin,0,neutral
"With microfinance loans and financial literacy training, our village partners can start their own businesses, earn… https://t.co/ui8P8THFNS",3/21/2018 23:20,0,The Hunger Project,0.3,positive
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 23:00,0,Naija Players Abroad,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 22:56,0,Officer-in-charge ?,0,neutral
"RT @oluabudu: Get a cash loan of N200,000 to N2.5m. For salary earners who live and work in Lagos State with no Collateral or Guarantor nee…",3/21/2018 22:52,0,•,0.136363636,positive
"RT @wolbj: Digibyte in the News 

#dgb #digitalasset #multialog #payments #crypto #blockchain #DigiByte #microfinance #USD
#Adoption

 #sma…",3/21/2018 22:50,0,KGB8317,0,neutral
How can we sponsor projects like this? https://t.co/CAk3f7nCtG via @ensiamedia @ibrahimthiaw @UNEP @sistema_bio… https://t.co/U19EznjMt2,3/21/2018 22:49,1,Sarah Bloomquist,0,neutral
Mobile Technology and How It Can Benefit Microfinance - Banking &amp; Finance | New Business https://t.co/9I1QASalqc,3/21/2018 22:35,0,MicroLead,0.136363636,positive
Microfinance in Africa: Benefits and Challenges - https://t.co/yuoeSOLrYw,3/21/2018 22:33,0,Lesly,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 22:32,0,PAUL.,0,neutral
"""[uncensored-r/CryptoCurrency] Nano cryptocurrency microfinance use case"" #microfinance https://t.co/DiebW4biie",3/21/2018 22:29,0,MicrofinanceNews,0,neutral
RT @fnfi_togo: Le Projet d’Appui à la Microfinance  que couvre ce financement vise à accompagner des primo-entrepreneurs. Plus de 2500 micr…,3/21/2018 22:26,0,Ambassade du Gabon,0,neutral
"Founded in 2001, @FincaZambia today is a regulated, deposit-taking #microfinance organization ? https://t.co/LWcL3rAUS0 #FinancialInclusion",3/21/2018 22:15,2,FINCA Canada,0,neutral
RT @ecocreative: A big day for #socent in #Australia with #microfinance pioneer @Yunus_Centre of @GrameenFdn at the Social Business Forum i…,3/21/2018 22:14,0,Mohammad Al-Khafaji,0.016666667,positive
A revoir | Le sud-africain Goodwell investit dans une société néerlandaise fournissant des logiciels aux institutio… https://t.co/6HiOFUzoUo,3/21/2018 22:08,0,Idriss Linge,0,neutral
How the World Benefits from the Expansion of Microfinance https://t.co/w5rq07vVo2,3/21/2018 22:08,1,Vitaly Tennant Links,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 22:06,0,Your village people,0,neutral
RT @ecocreative: A big day for #socent in #Australia with #microfinance pioneer @Yunus_Centre of @GrameenFdn at the Social Business Forum i…,3/21/2018 22:03,0,HashtagAdelaide,0.016666667,positive
A big day for #socent in #Australia with #microfinance pioneer @Yunus_Centre of @GrameenFdn at the Social Business… https://t.co/xqjDH6ITsK,3/21/2018 22:03,3,Matthew Wright-Simon,0.016666667,positive
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 22:01,0,thobie,0,neutral
RT @SwoopFunding: Anyone who’s looking to be an entrepreneur is probably aware of the fact that a great idea is only the beginning. There n…,3/21/2018 21:59,0,Curation Suite,0.35,positive
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:56,0,Jegede Ayodeji Olada,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:54,0,Your Village People,0,neutral
"RT @UNRWA: More than 15,890 female #Palestine #refugees received UNRWA microfinance loans in 2017. #IWD2018 #TimeIsNow #DignityIsPriceless…",3/21/2018 21:54,0,Rachel Evers,0.25,positive
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:50,0,Eminem's protege,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:43,0,Ayobolaji,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:32,0,Ayobami,0,neutral
"RT @WaterAidAmerica: ""When #women are empowered through #microfinance projects they generate household income that supports the broader nee…",3/21/2018 21:26,0,WeThePeopleDet,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:24,0,Babajide Guerrero,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:22,0,I Need a Job,0,neutral
"RT @The_LHoFT: Why Luxembourg? ???
A few of the reasons why #Luxembourg is home to a growing number of financial services innovators, inclu…",3/21/2018 21:18,0,Linda Lu,-0.1,negative
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:16,0,ROYAL_FINEST,0,neutral
@IgorDiarra @BOASenegal Vraiment félicitations à vous Monsieur le ministre . IGOR Diarra est vraiment  une référenc… https://t.co/IYQUl5zC0c,3/21/2018 21:13,0,Alou Traore,0,neutral
Anyone who’s looking to be an entrepreneur is probably aware of the fact that a great idea is only the beginning. T… https://t.co/ct2ChqqzJr,3/21/2018 21:12,1,Swoop,0.35,positive
"""When #women are empowered through #microfinance projects they generate household income that supports the broader… https://t.co/HSTwYBPr7n",3/21/2018 21:11,6,WaterAid America,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:10,0,BEWAJI ABAYOMI. V,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:02,0,Nace,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 21:00,0,EDAFE MATTHEW ESEOGHENE,0,neutral
"RT @CARE_SRHR: The @carerwanda, @RwandaWomenNet, and @RwandaMenResour   Indashyikirwa program (meaning ‘agents for change’) works to preven…",3/21/2018 20:58,0,KatherineNightingale,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 20:57,0,P0P00LA SEGUN DIPO,0,neutral
"RT @AMIR_Rwanda: With levels of financial inclusion reaching 90% in #Rwanda, we have a story to tell the world as Microfinance players in R…",3/21/2018 20:55,0,Aimable Nkuranga,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 20:54,0,Tunmbi-or not to be,0,neutral
"RT @wolbj: Digibyte in the News 

#dgb #digitalasset #multialog #payments #crypto #blockchain #DigiByte #microfinance #USD
#Adoption

 #sma…",3/21/2018 20:54,0,Jan,0,neutral
"RT @ConvergencesORG: [BAROMÈTRE DE LA MICROFINANCE] 
Dans cet article issu du Baromètre de la Microfinance 2017, @AC_HT_, directrice généra…",3/21/2018 20:41,0,EcoAct,-0.75,neutral
"RT @wolbj: Digibyte in the News 

#dgb #digitalasset #multialog #payments #crypto #blockchain #DigiByte #microfinance #BTC #litecoin #XVG $…",3/21/2018 20:40,0,EEM,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 20:38,0,kunlevictor,0,neutral
RT @WorldMFnews: Microfinance in Africa: Benefits and Challenges - The Market Mogul https://t.co/BSqGsjLcaW,3/21/2018 20:34,0,ECLOF Jamaica,0,neutral
RT @WorldMFnews: What the startup entrepreneur could achieve from microfinance - Business MattersBusiness Matters https://t.co/BXGXH1Ejpm,3/21/2018 20:33,0,ECLOF Jamaica,0,neutral
How the World Benefits from the Expansion of Microfinance https://t.co/AKkUL5WfkC,3/21/2018 20:19,0,AMChan,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 20:18,0,EGGHEAD,0,neutral
RT @InvestAfrica1: 4G Capital provides microfinance to African business people - 81% of their clients are female traders seeking to provide…,3/21/2018 20:14,0,Penda Monekosso,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 20:14,0,yubby nduonofit,0,neutral
RT @ReformeHebdo: Microfinance : Oikocrédit fête ses 40 ans https://t.co/BtuB5iRGZj https://t.co/YIZU0fP6ro,3/21/2018 20:05,0,Eric Holterhues,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 20:04,0,9,0,neutral
#BookReviews Crossing Allenby Bridge by Michael Looft #microfinance #ethicalfinancing #spirituality https://t.co/TCBqCWJudW,3/21/2018 19:58,0,Stephanie Hoogstad,0,neutral
"We would like to thank all speakers, participants and partners of our #UNGGMF we hosted last week in #Munich for yo… https://t.co/x9qeaw2Zt3",3/21/2018 19:53,0,UNIGLOBAL,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:38,0,Daniel Fashola,0,neutral
Raise your glass to support local entrepreneurship. Join us May 3rd at Opportunity Fund's #TasteofMicrofinanceLA fo… https://t.co/e5U0gZwA7K,3/21/2018 19:37,1,Opportunity Fund,0,neutral
@femifactor Microfinance bank naa... 1person dey come rob bank ni,3/21/2018 19:32,0,ePhRaIm ViCtOr,0,neutral
Microfinance in Africa: Benefits and Challenges - https://t.co/PfyTYfKlMx,3/21/2018 19:32,1,MicroLead,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:29,0,KAY,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:27,0,Ekemini Uwem Udonquak,0,neutral
"RT @wolbj: Digibyte in the News 

#dgb #digitalasset #multialog #payments #crypto #blockchain #DigiByte #microfinance #USD
#Adoption

 #sma…",3/21/2018 19:26,0,Cryptosis,0,neutral
"Are you a #startup struggling for finance, have you heard of #microfinance https://t.co/bPfHQXeTo4",3/21/2018 19:26,0,Holden Associates,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:25,0,RETROjunkie,0,neutral
@NavantiGroup Can we work out something for the Microfinance sector to mitigate risks?,3/21/2018 19:24,0,Miss Microfinance,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:16,0,Christopher Arnold,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:10,0,Freelancing TÖks™ ?,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:10,0,Do da needful,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:10,0,Deprince,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:08,0,ChibuzOD,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:07,0,Papichular,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:07,0,Onisona Emmanuel,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:06,0,Horlar D'gee,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:06,0,Soccer Club Fans,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:05,0,Free Bets Tips,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:02,0,Oluadegbami™,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:02,0,Damilola Dean Akindoyin,0,neutral
RT @PurpleShoots: A Welsh winner of the Citi Microfinance Awards Robert Owen Community Banking https://t.co/QT54FRIQwC,3/21/2018 19:02,0,Claire Louise Smith,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:01,0,WISE!!,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/21/2018 19:01,0,Boluwatife,0,neutral
From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their L… https://t.co/81jEOFHDTK,3/21/2018 18:58,96,POOJA...,0,neutral
"The @carerwanda, @RwandaWomenNet, and @RwandaMenResour   Indashyikirwa program (meaning ‘agents for change’) works… https://t.co/qioX5Fz953",3/21/2018 18:55,2,CARE SRHR,0,neutral
Nano cryptocurrency microfinance use case https://t.co/dSMnlUjVUd,3/21/2018 18:50,0,CRYPT0STR34M,0,neutral
"A snapshot of some of our inspiring, hardworking entrepreneurs in #Uganda, who have benefited from your generous do… https://t.co/lDg9aE6c7X",3/21/2018 18:48,2,kleosMFG,0.5,positive
@DataMufti Isnt it surprising that Telenor sold half of its Tameer microfinance stake to Alipay!!! To me it looks like a wrong move.,3/21/2018 18:41,0,Misbahuddin Abdullah,-0.041840278,negative
Un milliard f cfa pour le financement de la microfinance rurale au Cameroun - Agence de Presse Africaine https://t.co/UfZMx9XdJZ,3/21/2018 18:30,0,?????????????News,0,neutral
@_SayRayy @hellogwyneth @Sierra_niccole https://t.co/di01DVJUAu I just want to put this link here because I feel li… https://t.co/m1uxF2Vt3o,3/21/2018 18:27,0,Syd,0,neutral
What the #startup #entrepreneur could achieve from microfinance https://t.co/G4t37Wm3wF https://t.co/pbkohlBp0Q,3/21/2018 18:25,0,NXD,0,neutral
New Customers for Microfinance Can Accelerate Off-Grid Solar  https://t.co/Dxrh1moyHY @annie_goo,3/21/2018 18:22,0,Clean Energy Finance,0.136363636,positive
"RT @Abdorn09: Ina layin da take kallon wani kududdufi da aka cike ya zama wurin filin ball na kan court road, shine wannan. Akwai wani micr…",3/21/2018 18:05,0,legendary_major,0,neutral
".@MastercardFdn partnered with us on #microfinance in #Africa, because what gets measured, gets improved ?… https://t.co/o7A99aFqPY",3/21/2018 18:05,0,FINCA Canada,0,neutral
Majority of the people in Pakistan will have a digital wallet on a smartphone in the next 5 years. My thoughts on… https://t.co/XALOGAKSNX,3/21/2018 18:04,1,M. Mudassar Aqil,0,neutral
"RT @crea_sol: ? RAPPEL : @crea_sol en #partenariat avec @Fin_Pedagogie organise le #Concours Microfinance Success, parrainé par la @CE_Cote…",3/21/2018 18:01,0,Walicki,0.3,positive
"RT @rupertscofield: Great article by @farhanzaheer5 for @ExpressTribune, talking to @mmaqil CEO of @FINCA_Pakistan. The work #microfinance…",3/21/2018 17:56,0,M. Mudassar Aqil,0.8,positive
"Great article by @farhanzaheer5 for @ExpressTribune, talking to @mmaqil CEO of @FINCA_Pakistan. The work… https://t.co/zObLf38l0u",3/21/2018 17:51,2,Rupert Scofield,0.8,positive
Microfinance in focus.. https://t.co/aGDUc6MLek,3/21/2018 17:51,0,NewsBoss.in,0,neutral
Microcred rebrands as Baobab Microfinance Bank https://t.co/KVSWIM0qcs https://t.co/PbwMViFnLJ,3/21/2018 17:46,0,Rockcity 101.9 FM,0,neutral
"What the startup entrepreneur could achieve from microfinance
https://t.co/d9LpKdZfyq
#Entrepreneur #SmallBusiness",3/21/2018 17:31,0,Sanjay Parbhoo,0,neutral
"RT @lendwithcare: ""My favourite part of my job is uploading entrepreneur profiles because I see different photos of people and their busine…",3/21/2018 17:23,0,CARE InternationalUK,0,neutral
"RT @wolbj: Digibyte in the News 

#dgb $digibyte #digitalasset #multialog #payments #crypto #blockchain #DigiByte #microfinance #BTC #litec…",3/21/2018 17:23,0,ROLLER BALL,0,neutral
"RT @wolbj: Digibyte in the News 

#dgb #digitalasset #multialog #payments #crypto #blockchain #DigiByte #microfinance #USD
#Adoption

 #sma…",3/21/2018 17:23,0,ROLLER BALL,0,neutral
"RT @ethicaltrade: Female apparel workers struggle with wages, overtime and safety, study finds
Microfinance Opportunities studied female wo…",3/21/2018 17:22,0,dave auger,0,neutral
"BrandArena: EFInA Boosts Agency Banking With $100,015 Grant To Finca Microfinance Bank: https://t.co/M7lSihBCMm",3/21/2018 17:22,0,**peace for hww100**,0,neutral
"RT @lendwithcare: Our partner in #Pakistan @Akhuwat are the biggest #microfinance organisation in #Pakistan, and probably the largest #Isla…",3/21/2018 17:19,0,Muhammad Shakeel,0,neutral
RT @WhatWorksVAWG: Read latest blog from Erin Stern @LSHTM on the impact of Microfinance &amp; gender transformative programmes for preventing…,3/21/2018 17:11,0,Maggie Sandilands,0.5,positive
"I am pleased to share my interview in this month's issue of #Progreso, the Journal of the #BBVA #Microfinance Found… https://t.co/nL1HDDRHU1",3/21/2018 17:05,0,JM Salazar-Xirinachs,0.5,positive
"RT @Abdorn09: Ina layin da take kallon wani kududdufi da aka cike ya zama wurin filin ball na kan court road, shine wannan. Akwai wani micr…",3/21/2018 17:00,0,Salihu Tanko Yakasai,0,neutral
"Ina layin da take kallon wani kududdufi da aka cike ya zama wurin filin ball na kan court road, shine wannan. Akwai… https://t.co/tgw7Vx9iuF",3/21/2018 16:59,1,Amb. AMG,0,neutral
RT @WhatWorksVAWG: Read latest blog from Erin Stern @LSHTM on the impact of Microfinance &amp; gender transformative programmes for preventing…,3/21/2018 16:53,0,Jay Goulden,0.5,positive
RT @Lobstrco: BitBeat: Stellar Takes a Step Into the Microfinance World http://t.co/1R7bdTMUXZ,3/21/2018 16:52,0,Steven Tee,0.25,positive
RT @WhatWorksVAWG: Read latest blog from Erin Stern @LSHTM on the impact of Microfinance &amp; gender transformative programmes for preventing…,3/21/2018 16:48,0,Milkah Kihunah,0.5,positive
"Notre #WomanCrushMonday d'aujourd'hui est dédié Aramata Félicité Koné (Felly).

Felly est notre Manager, elle détie… https://t.co/jyxO8B8MdG",3/21/2018 16:40,2,Impact Hub Bamako,0,neutral
Another great example of using tech to improve lives at scale - expanding access to microfinance. Proud of relentle… https://t.co/rY7wrG4q2u,3/21/2018 16:36,0,Ana Dujmovic,0.8,positive
Microfinance in Africa: Benefits and Challenges | The Market Mogul https://t.co/I7MDNEEO1Q,3/21/2018 16:29,0,The Prepaid Economy: African Edition,0,neutral
